loss,accuracy,area_under_roc,precision,recall,tp,tn,fp,fn,val_loss,val_accuracy,val_area_under_roc,val_precision,val_recall,val_tp,val_tn,val_fp,val_fn
0.4684033989906311,0.7734162211418152,0.8583109974861145,0.7816210389137268,0.7588491439819336,8361.0,8682.0,2336.0,2657.0,0.4283861815929413,0.7995642423629761,0.8857681155204773,0.7884615659713745,0.8188090324401855,2255.0,2149.0,605.0,499.0
0.4454919397830963,0.7881647944450378,0.872773289680481,0.7982719540596008,0.771324872970581,8500.0,8868.0,2148.0,2520.0,0.41019347310066223,0.8080973029136658,0.8958748579025269,0.8270416259765625,0.7793103456497192,2147.0,2304.0,449.0,608.0
0.4303508698940277,0.798420786857605,0.8818142414093018,0.8115049004554749,0.7773239016532898,8563.0,9031.0,1989.0,2453.0,0.4133089482784271,0.8117284178733826,0.8931882977485657,0.8120683431625366,0.811183750629425,2234.0,2237.0,517.0,520.0
0.42399758100509644,0.8039118051528931,0.8857561945915222,0.8163091540336609,0.7842229604721069,8639.0,9076.0,1944.0,2377.0,0.39498433470726013,0.8188090324401855,0.9054853916168213,0.7997950315475464,0.8503450751304626,2341.0,2169.0,586.0,412.0
0.41587212681770325,0.8051824569702148,0.8907113075256348,0.8174011707305908,0.7860254049301147,8662.0,9081.0,1935.0,2358.0,0.4458507299423218,0.7844952940940857,0.886080801486969,0.8357632756233215,0.7079549431800842,1949.0,2372.0,383.0,804.0
0.41305193305015564,0.8083590269088745,0.8921968340873718,0.8187359571456909,0.7922148704528809,8731.0,9082.0,1933.0,2290.0,0.4163267910480499,0.8028322458267212,0.8959757685661316,0.8406862616539001,0.7472766637802124,2058.0,2364.0,390.0,696.0
0.4103906452655792,0.8109003305435181,0.8938207030296326,0.821207582950592,0.7948997020721436,8759.0,9110.0,1907.0,2260.0,0.3886144161224365,0.820806086063385,0.9095314145088196,0.8570274710655212,0.7702359557151794,2122.0,2399.0,354.0,633.0
0.40435710549354553,0.8143038749694824,0.8969545960426331,0.8251689076423645,0.7977681159973145,8793.0,9151.0,1863.0,2229.0,0.4110892415046692,0.8122730851173401,0.8993769288063049,0.7895622849464417,0.8514887690544128,2345.0,2129.0,625.0,409.0
0.39808133244514465,0.8199310302734375,0.9004160761833191,0.8308471441268921,0.8035568594932556,8856.0,9212.0,1803.0,2165.0,0.38515302538871765,0.8262526988983154,0.9137489795684814,0.8635627627372742,0.7747911214828491,2133.0,2418.0,337.0,620.0
0.39246630668640137,0.8187057375907898,0.9033910632133484,0.831290066242218,0.7998366951942444,8815.0,9226.0,1789.0,2206.0,0.36110711097717285,0.8418663740158081,0.9216300845146179,0.8335104584693909,0.8543936014175415,2353.0,2284.0,470.0,401.0
0.39097297191619873,0.8225176930427551,0.9043924808502197,0.8352197408676147,0.8036119341850281,8855.0,9270.0,1747.0,2164.0,0.39004796743392944,0.8213507533073425,0.9124091267585754,0.7915019989013672,0.8725489974021912,2403.0,2121.0,633.0,351.0
0.3905693292617798,0.8217462301254272,0.9045977592468262,0.832801342010498,0.805137038230896,8871.0,9237.0,1781.0,2147.0,0.4517522156238556,0.7859477400779724,0.9142133593559265,0.9272924661636353,0.6205519437789917,1709.0,2620.0,134.0,1045.0
0.38442355394363403,0.8248775005340576,0.9075250625610352,0.8366406559944153,0.8074060678482056,8896.0,9281.0,1737.0,2122.0,0.3663473129272461,0.8353304266929626,0.918642520904541,0.8633858561515808,0.7965855598449707,2193.0,2408.0,347.0,560.0
0.3858257830142975,0.8241060376167297,0.9070332050323486,0.837141215801239,0.8047739863395691,8867.0,9293.0,1725.0,2151.0,0.39901554584503174,0.8264342546463013,0.9180993437767029,0.7905623912811279,0.8881626725196838,2446.0,2106.0,648.0,308.0
0.3826413154602051,0.8249228596687317,0.9085730910301208,0.836767315864563,0.8072978258132935,8894.0,9284.0,1735.0,2123.0,0.4196271300315857,0.8091866374015808,0.9075853824615479,0.7709195017814636,0.87981116771698,2423.0,2034.0,720.0,331.0
