loss,accuracy,area_under_roc,precision,recall,tp,tn,fp,fn,val_loss,val_accuracy,val_area_under_roc,val_precision,val_recall,val_tp,val_tn,val_fp,val_fn
0.4735865294933319,0.7729546427726746,0.8547070026397705,0.7789881825447083,0.7618855237960815,9439.0,9721.0,2678.0,2950.0,0.42347317934036255,0.805232584476471,0.8947861194610596,0.8577512502670288,0.7318313717842102,1007.0,1209.0,167.0,369.0
0.44350293278694153,0.7909472584724426,0.8745283484458923,0.7983443737030029,0.778369665145874,9644.0,9962.0,2436.0,2746.0,0.40753838419914246,0.8070493936538696,0.89543616771698,0.8152011632919312,0.7944807410240173,1094.0,1127.0,248.0,283.0
0.4280616343021393,0.8017589449882507,0.8840900659561157,0.810822069644928,0.7871379256248474,9755.0,10119.0,2276.0,2638.0,0.4453693628311157,0.7834302186965942,0.8764122128486633,0.8312128782272339,0.7116920948028564,980.0,1176.0,199.0,397.0
0.41752952337265015,0.8065596222877502,0.8902605175971985,0.8145909309387207,0.793754518032074,9837.0,10156.0,2239.0,2556.0,0.4146251380443573,0.805232584476471,0.8964001536369324,0.7857142686843872,0.8393895626068115,1155.0,1061.0,315.0,221.0
0.41168102622032166,0.8070840835571289,0.8932207226753235,0.8156169652938843,0.7933650612831116,9829.0,10177.0,2222.0,2560.0,0.5117660164833069,0.7463662624359131,0.8406705856323242,0.7855340838432312,0.6782861351966858,934.0,1120.0,255.0,443.0
0.4059615433216095,0.8132967352867126,0.8968074917793274,0.8229911923408508,0.7982894778251648,9894.0,10266.0,2128.0,2500.0,0.4243111312389374,0.8023256063461304,0.8898459672927856,0.8436724543571472,0.7418181896209717,1020.0,1188.0,189.0,355.0
0.3972964286804199,0.8157172799110413,0.9010154604911804,0.8246618509292603,0.8019043207168579,9938.0,10282.0,2113.0,2455.0,0.38015565276145935,0.832848846912384,0.9109295010566711,0.8505747318267822,0.807272732257843,1110.0,1182.0,195.0,265.0
0.3972746729850769,0.8170485496520996,0.9012678861618042,0.8275402188301086,0.8010327816009521,9928.0,10325.0,2069.0,2466.0,0.470112681388855,0.7707121968269348,0.8622344136238098,0.8175618052482605,0.6969476938247681,959.0,1162.0,214.0,417.0
0.39110690355300903,0.8211634755134583,0.9042766094207764,0.8312801718711853,0.8058581352233887,9987.0,10368.0,2027.0,2406.0,0.434298038482666,0.7936046719551086,0.8955410122871399,0.8755803108215332,0.6848220825195312,943.0,1241.0,134.0,434.0
0.38589799404144287,0.8268113732337952,0.9072447419166565,0.8367415070533752,0.8121016621589661,10066.0,10429.0,1964.0,2329.0,0.4473172426223755,0.773982584476471,0.8697104454040527,0.7691208124160767,0.7825454473495483,1076.0,1054.0,323.0,299.0
0.38273346424102783,0.8253186941146851,0.9087761044502258,0.8347443342208862,0.8113101124763489,10057.0,10401.0,1991.0,2339.0,0.3749866187572479,0.8317587375640869,0.9119359254837036,0.8310369849205017,0.832848846912384,1146.0,1143.0,233.0,230.0
0.3795166313648224,0.8271340727806091,0.9105211496353149,0.8377478122711182,0.8114562034606934,10058.0,10445.0,1948.0,2337.0,0.48232924938201904,0.7663517594337463,0.8860334157943726,0.7106773853302002,0.8990558981895447,1238.0,871.0,504.0,139.0
0.3790692090988159,0.8274971842765808,0.9102756381034851,0.8362311720848083,0.8146474957466125,10100.0,10412.0,1978.0,2298.0,0.3926134705543518,0.8081395626068115,0.9018865823745728,0.8019943237304688,0.8183139562606812,1126.0,1098.0,278.0,250.0
0.3755740523338318,0.8285460472106934,0.912097156047821,0.8381094932556152,0.8143007159233093,10090.0,10448.0,1949.0,2301.0,0.39721888303756714,0.820857584476471,0.9013901352882385,0.8393543362617493,0.7936046719551086,1092.0,1167.0,209.0,284.0
0.3726423978805542,0.8315717577934265,0.9139928221702576,0.8433010578155518,0.8145219683647156,10096.0,10517.0,1876.0,2299.0,0.45266371965408325,0.7761628031730652,0.8758838176727295,0.7400379776954651,0.8509091138839722,1170.0,966.0,411.0,205.0
0.3735160827636719,0.828909158706665,0.9133086204528809,0.8385650515556335,0.8146833181381226,10098.0,10449.0,1944.0,2297.0,0.4382268786430359,0.7925145626068115,0.8823822736740112,0.8296478390693665,0.7361918687820435,1013.0,1168.0,208.0,363.0
